Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	468.0	404.5	MAP
Block1	718.0	477.5	MAP
Block1	576.0	427.5	MAP
Block1	414.0	453.5	MAP
Block1	444.0	615.5	MAP
Block1	345.0	649.5	MAP
Block1	359.0	651.5	MAP
Block1	525.0	526.5	MAP
Block1	728.0	441.5	MAP
Block1	481.0	533.5	MAP
Block1	475.0	621.5	MAP
Block1	358.0	288.5	MAP
Block1	374.0	669.5	MAP
Block1	370.0	654.5	MAP
Block1	475.0	673.5	MAP
Block1	504.0	620.5	MAP
Block1	525.0	467.5	MAP
Block1	603.0	467.5	MAP
Block1	552.0	686.5	MAP
Block1	601.0	688.5	MAP
Block1	634.0	583.5	MAP
Block1	665.0	457.5	MAP
Block1	752.0	473.5	MAP
Block1	452.0	634.5	MAP
Block1	391.0	648.5	MAP
Block1	398.0	350.5	MAP
Block1	422.0	665.5	MAP
Block1	451.0	402.5	MAP
Block1	566.0	446.5	MAP
Block1	474.0	670.5	MAP
Block1	493.0	673.5	MAP
Block1	679.0	298.5	MAP
Block1	823.0	391.5	MAP
Block1	718.0	455.5	MAP
Block1	764.0	451.5	MAP
Block1	778.0	417.5	MAP
Block1	415.0	296.5	MAP
Block1	626.0	319.5	MAP
Block1	607.0	615.5	MAP
Block1	701.0	381.5	MAP
Block1	708.0	347.5	MAP
Block1	359.0	326.5	MAP
Block1	467.0	461.5	MAP
Block1	648.0	35.5	WHITESPACE
Block1	648.0	35.5	WHITESPACE
Block1	648.0	35.5	WHITESPACE
Block1	595.0	534.5	MAP
Block1	601.0	358.5	MAP
Block1	652.0	44.5	WHITESPACE
Block1	652.0	44.5	WHITESPACE
Block1	572.0	558.5	MAP
Block1	602.0	304.5	MAP
Block1	435.0	287.5	MAP
Block1	378.0	308.5	MAP
Block1	441.0	283.5	MAP
Block1	388.0	285.5	MAP
Block1	380.0	273.5	MAP
Block1	585.0	308.5	MAP
Block1	593.0	413.5	MAP
Block1	593.0	304.5	MAP
Block1	560.0	396.5	MAP
Block1	485.0	374.5	MAP
Block1	431.0	319.5	MAP
Block1	568.0	415.5	MAP
Block1	592.0	413.5	MAP
Block1	543.0	398.5	MAP
Block1	472.0	354.5	MAP
Block1	429.0	314.5	MAP
Block1	388.0	323.5	MAP
Block1	604.0	533.5	MAP
Block1	472.0	390.5	MAP
Block1	405.0	307.5	MAP
Block1	554.0	497.5	MAP
Block1	568.0	528.5	MAP
Block1	473.0	514.5	MAP
Block1	444.0	310.5	MAP
Block1	417.0	300.5	MAP
Block1	540.0	353.5	MAP
Block1	569.0	431.5	MAP
