Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	533.0	507.5	MAP
Block1	421.0	542.5	MAP
Block1	333.0	672.5	MAP
Block1	351.0	633.5	MAP
Block1	638.0	343.5	MAP
Block1	437.0	622.5	MAP
Block1	354.0	632.5	MAP
Block1	369.0	628.5	MAP
Block1	359.0	632.5	MAP
Block1	722.0	388.5	MAP
Block1	408.0	628.5	MAP
Block1	357.0	644.5	MAP
Block1	709.0	382.5	MAP
Block1	535.0	627.5	MAP
Block1	496.0	621.5	MAP
Block1	419.0	642.5	MAP
Block1	539.0	637.5	MAP
Block1	598.0	620.5	MAP
Block1	632.0	454.5	MAP
Block1	659.0	384.5	MAP
Block1	453.0	635.5	MAP
Block1	492.0	634.5	MAP
Block1	604.0	628.5	MAP
Block1	633.0	461.5	MAP
Block1	637.0	428.5	MAP
Block1	720.0	379.5	MAP
Block1	701.0	381.5	MAP
Block1	601.0	627.5	MAP
Block1	630.0	411.5	MAP
Block1	641.0	444.5	MAP
Block1	626.0	473.5	MAP
Block1	657.0	411.5	MAP
Block1	701.0	417.5	MAP
Block1	716.0	361.5	MAP
Block1	575.0	377.5	MAP
Block1	705.0	382.5	MAP
Block1	629.0	629.5	MAP
Block1	703.0	387.5	MAP
Block1	722.0	384.5	MAP
Block1	648.0	655.5	MAP
Block1	630.0	651.5	MAP
Block1	608.0	514.5	MAP
Block1	662.0	415.5	MAP
Block1	712.0	398.5	MAP
Block1	669.0	444.5	MAP
Block1	632.0	664.5	MAP
Block1	366.0	433.5	MAP
Block1	380.0	374.5	MAP
Block1	694.0	36.5	WHITESPACE
Block1	629.0	658.5	MAP
Block1	480.0	418.5	MAP
Block1	387.0	380.5	MAP
Block1	496.0	419.5	MAP
Block1	594.0	452.5	MAP
Block1	509.0	430.5	MAP
Block1	438.0	387.5	MAP
Block1	481.0	381.5	MAP
Block1	588.0	446.5	MAP
Block1	364.0	382.5	MAP
Block1	574.0	380.5	MAP
Block1	554.0	314.5	MAP
Block1	415.0	355.5	MAP
Block1	480.0	376.5	MAP
Block1	424.0	361.5	MAP
Block1	533.0	308.5	MAP
Block1	550.0	293.5	MAP
Block1	383.0	497.5	MAP
Block1	386.0	549.5	MAP
Block1	354.0	629.5	MAP
Block1	374.0	527.5	MAP
Block2	550.0	433.5	MAP
Block2	365.0	641.5	MAP
Block2	663.0	380.5	MAP
Block2	723.0	377.5	MAP
Block2	401.0	637.5	MAP
Block2	365.0	643.5	MAP
Block2	530.0	623.5	MAP
Block2	603.0	610.5	MAP
Block2	462.0	630.5	MAP
Block2	420.0	636.5	MAP
Block2	586.0	655.5	MAP
Block2	527.0	634.5	MAP
Block2	462.0	629.5	MAP
Block2	423.0	625.5	MAP
Block2	416.0	418.5	MAP
Block2	385.0	394.5	MAP
Block2	668.0	370.5	MAP
Block2	738.0	365.5	MAP
Block2	703.0	389.5	MAP
Block2	625.0	398.5	MAP
Block2	719.0	427.5	MAP
Block2	728.0	410.5	MAP
Block2	724.0	380.5	MAP
Block2	630.0	655.5	MAP
Block2	600.0	666.5	MAP
Block2	458.0	564.5	MAP
Block2	708.0	381.5	MAP
Block2	442.0	639.5	MAP
Block2	565.0	397.5	MAP
Block2	464.0	491.5	MAP
Block2	402.0	411.5	MAP
Block2	439.0	574.5	MAP
Block2	470.0	640.5	MAP
Block2	429.0	643.5	MAP
Block2	390.0	613.5	MAP
Block2	386.0	453.5	MAP
Block2	395.0	394.5	MAP
Block2	414.0	607.5	MAP
Block2	533.0	597.5	MAP
Block2	592.0	611.5	MAP
Block2	573.0	491.5	MAP
Block2	576.0	442.5	MAP
Block2	523.0	432.5	MAP
Block2	477.0	390.5	MAP
Block2	408.0	386.5	MAP
Block2	576.0	445.5	MAP
Block2	596.0	469.5	MAP
Block2	588.0	584.5	MAP
Block2	593.0	561.5	MAP
Block3	603.0	614.5	MAP
Block3	463.0	630.5	MAP
Block3	421.0	635.5	MAP
Block3	587.0	661.5	MAP
Block3	527.0	644.5	MAP
Block3	462.0	628.5	MAP
Block3	422.0	623.5	MAP
Block3	420.0	421.5	MAP
Block3	388.0	394.5	MAP
Block3	670.0	375.5	MAP
Block3	730.0	362.5	MAP
Block3	704.0	391.5	MAP
Block3	626.0	402.5	MAP
Block3	717.0	430.5	MAP
Block3	726.0	410.5	MAP
Block3	724.0	380.5	MAP
Block3	630.0	652.5	MAP
Block3	604.0	665.5	MAP
Block3	460.0	565.5	MAP
Block3	711.0	381.5	MAP
Block3	444.0	635.5	MAP
Block3	567.0	392.5	MAP
Block3	464.0	492.5	MAP
Block3	401.0	416.5	MAP
Block3	442.0	571.5	MAP
Block3	470.0	637.5	MAP
Block3	426.0	646.5	MAP
Block3	390.0	611.5	MAP
Block3	383.0	456.5	MAP
Block3	393.0	387.5	MAP
Block3	415.0	607.5	MAP
Block3	532.0	596.5	MAP
Block3	592.0	612.5	MAP
Block3	573.0	492.5	MAP
Block3	578.0	441.5	MAP
Block3	523.0	430.5	MAP
Block3	478.0	388.5	MAP
Block3	410.0	386.5	MAP
Block3	576.0	445.5	MAP
Block3	597.0	469.5	MAP
Block3	588.0	584.5	MAP
Block3	593.0	561.5	MAP
Block4	632.0	456.5	MAP
Block4	723.0	355.5	MAP
Block4	449.0	361.5	MAP
Block4	408.0	361.5	MAP
Block4	680.0	377.5	MAP
Block4	731.0	383.5	MAP
Block4	410.0	384.5	MAP
Block4	587.0	388.5	MAP
Block4	715.0	373.5	MAP
Block4	473.0	388.5	MAP
Block4	397.0	394.5	MAP
Block4	448.0	395.5	MAP
Block4	428.0	392.5	MAP
Block4	379.0	382.5	MAP
Block4	683.0	381.5	MAP
Block4	474.0	382.5	MAP
Block4	672.0	375.5	MAP
Block4	400.0	408.5	MAP
Block4	499.0	632.5	MAP
Block4	537.0	652.5	MAP
Block4	626.0	652.5	MAP
Block4	647.0	632.5	MAP
Block4	630.0	661.5	MAP
Block4	624.0	641.5	MAP
Block4	615.0	676.5	MAP
Block4	594.0	672.5	MAP
