Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	407.0	383.5	MAP
Block1	528.0	584.5	MAP
Block1	416.0	702.5	MAP
Block1	426.0	684.5	MAP
Block1	699.0	504.5	MAP
Block1	740.0	438.5	MAP
Block1	735.0	54.5	WHITESPACE
Block1	581.0	673.5	MAP
Block1	705.0	431.5	MAP
Block1	731.0	430.5	MAP
Block1	702.0	50.5	WHITESPACE
Block1	702.0	50.5	WHITESPACE
Block1	607.0	679.5	MAP
Block1	547.0	682.5	MAP
Block1	633.0	652.5	MAP
Block1	716.0	520.5	MAP
Block1	742.0	447.5	MAP
Block1	709.0	505.5	MAP
Block1	624.0	676.5	MAP
Block1	567.0	701.5	MAP
Block1	658.0	54.5	WHITESPACE
Block1	658.0	54.5	WHITESPACE
Block1	397.0	442.5	MAP
Block1	484.0	636.5	MAP
Block1	500.0	506.5	MAP
Block1	585.0	423.5	MAP
Block1	575.0	514.5	MAP
Block1	624.0	492.5	MAP
Block1	643.0	466.5	MAP
Block1	672.0	308.5	MAP
Block1	806.0	325.5	MAP
Block1	824.0	259.5	MAP
Block1	820.0	273.5	MAP
Block1	796.0	301.5	MAP
Block1	763.0	455.5	MAP
Block1	720.0	509.5	MAP
Block1	826.0	308.5	MAP
Block1	840.0	308.5	MAP
Block1	749.0	336.5	MAP
Block1	657.0	57.5	WHITESPACE
Block1	597.0	214.5	MAP
Block1	653.0	280.5	MAP
Block1	655.0	352.5	MAP
Block1	638.0	469.5	MAP
Block1	595.0	477.5	MAP
Block1	617.0	285.5	MAP
Block1	644.0	294.5	MAP
Block1	626.0	426.5	MAP
Block1	588.0	449.5	MAP
Block1	587.0	474.5	MAP
Block1	345.0	372.5	MAP
Block1	257.0	386.5	MAP
Block1	500.0	635.5	MAP
Block1	488.0	668.5	MAP
Block1	475.0	594.5	MAP
Block1	501.0	576.5	MAP
Block1	477.0	457.5	MAP
Block1	427.0	438.5	MAP
Block1	521.0	518.5	MAP
Block1	470.0	652.5	MAP
Block1	273.0	432.5	MAP
Block1	460.0	455.5	MAP
Block1	489.0	545.5	MAP
Block1	522.0	532.5	MAP
Block1	497.0	639.5	MAP
Block1	604.0	500.5	MAP
Block1	661.0	651.5	MAP
Block1	489.0	478.5	MAP
Block1	586.0	634.5	MAP
Block1	611.0	528.5	MAP
Block1	558.0	498.5	MAP
Block1	494.0	481.5	MAP
Block1	533.0	475.5	MAP
Block1	578.0	473.5	MAP
Block1	648.0	524.5	MAP
Block1	515.0	485.5	MAP
Block1	473.0	463.5	MAP
Block1	608.0	223.5	MAP
Block1	525.0	252.5	MAP
Block1	508.0	251.5	MAP
Block1	543.0	281.5	MAP
Block1	403.0	412.5	MAP
Block1	381.0	434.5	MAP
Block1	351.0	484.5	MAP
Block1	340.0	468.5	MAP
Block1	374.0	449.5	MAP
Block1	436.0	474.5	MAP
Block1	687.0	52.5	WHITESPACE
Block1	687.0	52.5	WHITESPACE
Block1	380.0	486.5	MAP
Block1	359.0	459.5	MAP
Block1	361.0	463.5	MAP
Block1	691.0	52.5	WHITESPACE
Block1	410.0	193.5	MAP
Block1	387.0	215.5	MAP
Block1	333.0	224.5	MAP
Block1	705.0	51.5	WHITESPACE
Block1	326.0	431.5	MAP
Block1	313.0	470.5	MAP
Block1	377.0	244.5	MAP
Block1	340.0	447.5	MAP
