Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	351.0	281.5	MAP
Block1	727.0	369.5	MAP
Block1	503.0	648.5	MAP
Block1	326.0	636.5	MAP
Block1	348.0	643.5	MAP
Block1	352.0	633.5	MAP
Block1	352.0	633.5	MAP
Block1	352.0	629.5	MAP
Block1	612.0	488.5	MAP
Block1	489.0	701.5	MAP
Block1	399.0	680.5	MAP
Block1	704.0	54.5	WHITESPACE
Block1	399.0	635.5	MAP
Block1	402.0	670.5	MAP
Block1	397.0	629.5	MAP
Block1	672.0	48.5	WHITESPACE
Block1	487.0	646.5	MAP
Block1	551.0	550.5	MAP
Block1	738.0	399.5	MAP
Block1	682.0	652.5	MAP
Block1	609.0	557.5	MAP
Block1	619.0	370.5	MAP
Block1	710.0	399.5	MAP
Block1	423.0	654.5	MAP
Block1	421.0	656.5	MAP
Block1	616.0	454.5	MAP
Block1	717.0	404.5	MAP
Block1	676.0	431.5	MAP
Block1	718.0	379.5	MAP
Block1	443.0	617.5	MAP
Block1	610.0	678.5	MAP
Block1	695.0	360.5	MAP
Block1	712.0	360.5	MAP
Block1	559.0	630.5	MAP
Block1	624.0	676.5	MAP
Block1	617.0	673.5	MAP
Block1	410.0	585.5	MAP
Block1	663.0	605.5	MAP
Block1	621.0	647.5	MAP
Block1	611.0	677.5	MAP
Block1	598.0	445.5	MAP
Block1	610.0	439.5	MAP
Block1	489.0	605.5	MAP
Block1	595.0	555.5	MAP
Block1	588.0	536.5	MAP
Block1	631.0	652.5	MAP
Block1	605.0	665.5	MAP
Block1	524.0	556.5	MAP
Block1	614.0	639.5	MAP
Block1	594.0	611.5	MAP
Block1	593.0	413.5	MAP
Block1	426.0	380.5	MAP
Block1	576.0	421.5	MAP
Block1	590.0	388.5	MAP
Block1	596.0	343.5	MAP
Block1	390.0	366.5	MAP
Block1	517.0	404.5	MAP
Block1	441.0	361.5	MAP
Block1	419.0	340.5	MAP
Block1	379.0	341.5	MAP
Block1	399.0	425.5	MAP
Block1	352.0	575.5	MAP
Block1	432.0	291.5	MAP
Block1	434.0	406.5	MAP
Block1	414.0	287.5	MAP
Block1	329.0	267.5	MAP
Block1	284.0	438.5	MAP
Block1	407.0	286.5	MAP
Block1	522.0	446.5	MAP
Block1	374.0	564.5	MAP
Block1	344.0	625.5	MAP
Block2	509.0	381.5	MAP
Block2	449.0	457.5	MAP
Block2	293.0	562.5	MAP
Block2	280.0	543.5	MAP
Block2	294.0	527.5	MAP
Block2	409.0	493.5	MAP
Block2	439.0	542.5	MAP
Block2	460.0	542.5	MAP
Block2	579.0	540.5	MAP
Block2	638.0	372.5	MAP
Block2	352.0	549.5	MAP
Block2	549.0	564.5	MAP
Block2	589.0	529.5	MAP
Block2	644.0	324.5	MAP
Block2	609.0	545.5	MAP
Block2	609.0	417.5	MAP
Block2	392.0	563.5	MAP
Block2	604.0	648.5	MAP
Block2	644.0	268.5	MAP
Block2	673.0	280.5	MAP
Block2	590.0	307.5	MAP
Block2	420.0	582.5	MAP
Block2	580.0	481.5	MAP
Block2	605.0	634.5	MAP
Block2	589.0	452.5	MAP
Block2	621.0	652.5	MAP
Block2	594.0	599.5	MAP
Block2	593.0	506.5	MAP
Block2	388.0	367.5	MAP
Block2	596.0	455.5	MAP
Block2	567.0	441.5	MAP
Block2	592.0	415.5	MAP
Block2	586.0	415.5	MAP
Block2	489.0	392.5	MAP
Block2	345.0	622.5	MAP
Block2	406.0	391.5	MAP
Block2	398.0	409.5	MAP
Block2	335.0	593.5	MAP
Block2	345.0	621.5	MAP
Block2	372.0	603.5	MAP
Block2	529.0	540.5	MAP
Block2	381.0	511.5	MAP
Block2	348.0	632.5	MAP
Block3	381.0	528.5	MAP
Block3	301.0	541.5	MAP
Block3	285.0	538.5	MAP
Block3	282.0	545.5	MAP
Block3	441.0	601.5	MAP
