Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	583.0	420.5	MAP
Block1	457.0	304.5	MAP
Block1	422.0	439.5	MAP
Block1	663.0	51.5	WHITESPACE
Block1	653.0	40.5	WHITESPACE
Block1	653.0	40.5	WHITESPACE
Block1	730.0	57.5	WHITESPACE
Block1	695.0	58.5	WHITESPACE
Block1	435.0	668.5	MAP
Block1	669.0	47.5	WHITESPACE
Block1	693.0	48.5	WHITESPACE
Block1	689.0	60.5	WHITESPACE
Block1	554.0	701.5	MAP
Block1	699.0	444.5	MAP
Block1	756.0	425.5	MAP
Block1	716.0	471.5	MAP
Block1	466.0	647.5	MAP
Block1	695.0	48.5	WHITESPACE
Block1	695.0	48.5	WHITESPACE
Block1	717.0	447.5	MAP
Block1	756.0	418.5	MAP
Block1	607.0	599.5	MAP
Block1	553.0	459.5	MAP
Block1	637.0	497.5	MAP
Block1	741.0	428.5	MAP
Block1	633.0	496.5	MAP
Block1	639.0	512.5	MAP
Block1	746.0	431.5	MAP
Block1	719.0	510.5	MAP
Block1	638.0	511.5	MAP
Block1	755.0	440.5	MAP
Block1	681.0	455.5	MAP
Block1	734.0	454.5	MAP
Block1	751.0	435.5	MAP
Block1	758.0	421.5	MAP
Block1	566.0	613.5	MAP
Block1	737.0	50.5	WHITESPACE
Block1	704.0	463.5	MAP
Block1	745.0	426.5	MAP
Block1	693.0	54.5	WHITESPACE
Block1	647.0	518.5	MAP
Block1	675.0	491.5	MAP
Block1	732.0	478.5	MAP
Block1	727.0	40.5	WHITESPACE
Block1	662.0	665.5	MAP
Block1	749.0	459.5	MAP
Block1	796.0	520.5	MAP
Block1	813.0	589.5	MAP
Block1	650.0	521.5	MAP
Block1	731.0	496.5	MAP
Block1	760.0	42.5	WHITESPACE
Block1	798.0	628.5	MAP
Block1	809.0	488.5	MAP
Block1	684.0	495.5	MAP
Block1	643.0	606.5	MAP
Block1	691.0	499.5	MAP
Block1	666.0	485.5	MAP
Block1	740.0	432.5	MAP
