Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	171.0	415.5	MAP
Block1	414.0	434.5	MAP
Block1	370.0	600.5	MAP
Block1	622.0	396.5	MAP
Block1	371.0	596.5	MAP
Block1	362.0	610.5	MAP
Block1	727.0	366.5	MAP
Block1	706.0	343.5	MAP
Block1	763.0	330.5	MAP
Block1	741.0	355.5	MAP
Block1	597.0	509.5	MAP
Block1	503.0	596.5	MAP
Block1	437.0	611.5	MAP
Block1	618.0	572.5	MAP
Block1	492.0	598.5	MAP
Block1	648.0	490.5	MAP
Block1	682.0	518.5	MAP
Block1	746.0	366.5	MAP
Block1	658.0	410.5	MAP
Block1	625.0	417.5	MAP
Block1	688.0	337.5	MAP
Block1	510.0	329.5	MAP
Block1	638.0	323.5	MAP
Block1	681.0	315.5	MAP
Block1	550.0	286.5	MAP
Block1	518.0	569.5	MAP
Block1	557.0	567.5	MAP
Block1	703.0	387.5	MAP
Block1	616.0	432.5	MAP
Block1	690.0	386.5	MAP
Block1	722.0	413.5	MAP
Block1	712.0	420.5	MAP
Block1	659.0	425.5	MAP
Block1	462.0	432.5	MAP
Block1	670.0	521.5	MAP
Block1	628.0	651.5	MAP
Block1	696.0	406.5	MAP
Block1	601.0	618.5	MAP
Block1	616.0	656.5	MAP
Block1	607.0	679.5	MAP
Block1	690.0	377.5	MAP
Block1	690.0	423.5	MAP
Block1	697.0	387.5	MAP
Block1	703.0	369.5	MAP
Block1	667.0	499.5	MAP
Block1	619.0	469.5	MAP
Block1	600.0	591.5	MAP
Block1	602.0	654.5	MAP
Block1	603.0	682.5	MAP
Block1	657.0	428.5	MAP
Block1	522.0	351.5	MAP
Block1	589.0	399.5	MAP
Block1	604.0	492.5	MAP
Block1	626.0	426.5	MAP
Block1	572.0	409.5	MAP
Block1	612.0	423.5	MAP
Block1	667.0	612.5	MAP
Block1	621.0	445.5	MAP
Block1	598.0	419.5	MAP
Block1	500.0	477.5	MAP
Block1	533.0	406.5	MAP
Block1	538.0	398.5	MAP
Block1	564.0	473.5	MAP
Block1	693.0	314.5	MAP
Block1	618.0	514.5	MAP
Block1	464.0	390.5	MAP
Block1	410.0	336.5	MAP
Block1	378.0	315.5	MAP
Block1	575.0	546.5	MAP
Block1	614.0	601.5	MAP
Block1	536.0	486.5	MAP
Block1	564.0	425.5	MAP
Block1	568.0	369.5	MAP
Block1	532.0	330.5	MAP
Block1	540.0	421.5	MAP
Block1	581.0	410.5	MAP
Block1	601.0	510.5	MAP
Block1	602.0	578.5	MAP
Block1	607.0	603.5	MAP
Block1	598.0	409.5	MAP
Block1	598.0	382.5	MAP
Block1	495.0	351.5	MAP
Block1	517.0	577.5	MAP
Block1	429.0	492.5	MAP
Block1	408.0	359.5	MAP
Block1	374.0	373.5	MAP
Block1	372.0	333.5	MAP
Block1	399.0	430.5	MAP
Block1	392.0	531.5	MAP
Block1	413.0	630.5	MAP
Block1	567.0	620.5	MAP
Block1	383.0	533.5	MAP
Block1	413.0	396.5	MAP
Block1	507.0	389.5	MAP
Block1	395.0	312.5	MAP
Block1	589.0	606.5	MAP
Block1	618.0	647.5	MAP
Block1	517.0	447.5	MAP
Block1	441.0	359.5	MAP
Block1	439.0	372.5	MAP
Block1	621.0	644.5	MAP
Block1	629.0	640.5	MAP
Block1	622.0	665.5	MAP
Block1	540.0	671.5	MAP
Block1	520.0	622.5	MAP
Block1	455.0	416.5	MAP
