Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	636.0	347.5	MAP
Block1	504.0	365.5	MAP
Block1	683.0	52.5	WHITESPACE
Block1	471.0	437.5	MAP
Block1	421.0	607.5	MAP
Block1	706.0	381.5	MAP
Block1	694.0	362.5	MAP
Block1	694.0	372.5	MAP
Block1	670.0	432.5	MAP
Block1	694.0	47.5	WHITESPACE
Block1	694.0	47.5	WHITESPACE
Block1	506.0	510.5	MAP
Block1	610.0	516.5	MAP
Block1	722.0	408.5	MAP
Block1	305.0	509.5	MAP
Block1	364.0	512.5	MAP
Block1	715.0	401.5	MAP
Block1	605.0	543.5	MAP
Block1	578.0	542.5	MAP
Block1	621.0	502.5	MAP
Block1	583.0	509.5	MAP
Block1	567.0	579.5	MAP
Block1	617.0	459.5	MAP
Block1	666.0	468.5	MAP
Block1	688.0	409.5	MAP
Block1	647.0	490.5	MAP
Block1	647.0	490.5	MAP
Block1	730.0	50.5	WHITESPACE
Block1	602.0	647.5	MAP
Block1	677.0	425.5	MAP
Block1	760.0	502.5	MAP
Block1	785.0	496.5	MAP
Block1	686.0	55.5	WHITESPACE
Block1	604.0	668.5	MAP
Block1	720.0	52.5	WHITESPACE
Block1	675.0	45.5	WHITESPACE
Block1	675.0	45.5	WHITESPACE
Block1	564.0	493.5	MAP
Block1	503.0	466.5	MAP
Block1	424.0	408.5	MAP
Block1	331.0	690.5	MAP
Block1	430.0	428.5	MAP
Block1	336.0	647.5	MAP
Block2	369.0	430.5	MAP
Block2	278.0	260.5	MAP
Block2	361.0	359.5	MAP
Block2	576.0	419.5	MAP
Block2	655.0	526.5	MAP
Block2	247.0	223.5	MAP
Block2	357.0	339.5	MAP
Block2	377.0	525.5	MAP
Block2	648.0	521.5	MAP
Block2	686.0	392.5	MAP
Block2	662.0	480.5	MAP
Block2	520.0	467.5	MAP
Block2	522.0	480.5	MAP
Block2	424.0	410.5	MAP
Block2	378.0	421.5	MAP
Block2	713.0	380.5	MAP
Block2	575.0	518.5	MAP
Block2	561.0	654.5	MAP
Block2	437.0	536.5	MAP
Block2	709.0	380.5	MAP
Block2	630.0	425.5	MAP
Block2	698.0	388.5	MAP
Block2	444.0	482.5	MAP
Block2	681.0	431.5	MAP
Block2	628.0	511.5	MAP
Block2	689.0	421.5	MAP
Block2	623.0	563.5	MAP
Block2	595.0	534.5	MAP
Block2	575.0	637.5	MAP
Block2	588.0	536.5	MAP
Block2	760.0	52.5	WHITESPACE
Block2	735.0	48.5	WHITESPACE
Block2	748.0	352.5	MAP
Block2	487.0	486.5	MAP
Block2	538.0	535.5	MAP
Block2	466.0	445.5	MAP
Block2	562.0	460.5	MAP
Block2	527.0	512.5	MAP
Block2	426.0	549.5	MAP
Block2	525.0	518.5	MAP
Block2	372.0	404.5	MAP
Block2	387.0	419.5	MAP
Block2	323.0	390.5	MAP
Block2	289.0	654.5	MAP
Block2	297.0	455.5	MAP
Block2	331.0	423.5	MAP
Block2	335.0	453.5	MAP
Block2	513.0	538.5	MAP
Block2	329.0	461.5	MAP
Block2	366.0	561.5	MAP
Block2	313.0	464.5	MAP
Block2	330.0	468.5	MAP
Block2	388.0	531.5	MAP
Block2	224.0	547.5	MAP
Block2	200.0	592.5	MAP
Block2	701.0	52.5	WHITESPACE
Block2	231.0	627.5	MAP
Block2	682.0	40.5	WHITESPACE
Block2	575.0	546.5	MAP
Block2	625.0	583.5	MAP
Block2	704.0	459.5	MAP
Block2	400.0	434.5	MAP
Block2	352.0	456.5	MAP
