Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	619.0	486.5	MAP
Block1	703.0	41.5	WHITESPACE
Block1	395.0	608.5	MAP
Block1	431.0	519.5	MAP
Block1	479.0	476.5	MAP
Block1	502.0	426.5	MAP
Block1	665.0	441.5	MAP
Block1	594.0	402.5	MAP
Block1	518.0	420.5	MAP
Block1	442.0	621.5	MAP
Block1	544.0	421.5	MAP
Block1	560.0	483.5	MAP
Block1	502.0	575.5	MAP
Block1	388.0	441.5	MAP
Block1	497.0	392.5	MAP
Block1	543.0	368.5	MAP
Block1	297.0	535.5	MAP
Block1	315.0	532.5	MAP
Block1	481.0	428.5	MAP
Block1	367.0	453.5	MAP
Block1	619.0	509.5	MAP
Block1	502.0	548.5	MAP
Block1	571.0	462.5	MAP
Block1	718.0	478.5	MAP
Block1	594.0	542.5	MAP
Block1	650.0	546.5	MAP
Block1	710.0	482.5	MAP
Block1	712.0	488.5	MAP
Block1	694.0	520.5	MAP
Block1	704.0	538.5	MAP
Block1	625.0	453.5	MAP
Block1	698.0	54.5	WHITESPACE
Block1	698.0	54.5	WHITESPACE
Block1	782.0	476.5	MAP
Block1	788.0	509.5	MAP
Block1	740.0	51.5	WHITESPACE
Block1	511.0	348.5	MAP
Block1	592.0	420.5	MAP
Block1	665.0	213.5	MAP
Block1	587.0	356.5	MAP
Block1	611.0	286.5	MAP
Block1	603.0	410.5	MAP
Block1	285.0	283.5	MAP
Block1	434.0	543.5	MAP
Block1	457.0	549.5	MAP
Block1	395.0	439.5	MAP
Block1	467.0	478.5	MAP
Block1	442.0	572.5	MAP
Block1	455.0	550.5	MAP
Block1	508.0	216.5	MAP
Block1	646.0	529.5	MAP
Block1	603.0	486.5	MAP
Block1	550.0	315.5	MAP
Block1	576.0	549.5	MAP
Block1	561.0	536.5	MAP
Block1	564.0	500.5	MAP
Block1	455.0	529.5	MAP
Block1	434.0	663.5	MAP
Block1	435.0	659.5	MAP
Block1	442.0	567.5	MAP
Block1	441.0	565.5	MAP
Block1	445.0	569.5	MAP
Block1	529.0	467.5	MAP
Block1	567.0	417.5	MAP
Block1	486.0	611.5	MAP
Block1	514.0	423.5	MAP
Block1	531.0	401.5	MAP
Block1	523.0	452.5	MAP
Block1	509.0	477.5	MAP
Block1	547.0	437.5	MAP
Block1	379.0	258.5	MAP
Block2	436.0	397.5	MAP
Block2	593.0	449.5	MAP
Block2	600.0	466.5	MAP
Block2	359.0	605.5	MAP
Block2	297.0	617.5	MAP
Block2	296.0	629.5	MAP
Block2	550.0	520.5	MAP
Block2	603.0	481.5	MAP
Block2	413.0	476.5	MAP
Block2	556.0	561.5	MAP
Block2	533.0	571.5	MAP
Block2	539.0	552.5	MAP
Block2	540.0	554.5	MAP
Block2	515.0	549.5	MAP
Block2	589.0	464.5	MAP
Block2	423.0	427.5	MAP
Block2	409.0	699.5	MAP
Block2	674.0	51.5	WHITESPACE
Block2	634.0	535.5	MAP
Block2	657.0	610.5	MAP
Block2	752.0	490.5	MAP
Block2	782.0	493.5	MAP
Block2	419.0	389.5	MAP
Block2	680.0	47.5	WHITESPACE
Block2	413.0	438.5	MAP
Block2	503.0	418.5	MAP
Block2	507.0	442.5	MAP
Block2	533.0	395.5	MAP
Block2	727.0	489.5	MAP
Block2	466.0	488.5	MAP
Block2	595.0	577.5	MAP
Block2	738.0	510.5	MAP
Block2	709.0	59.5	WHITESPACE
Block2	709.0	59.5	WHITESPACE
Block2	386.0	693.5	MAP
Block2	423.0	687.5	MAP
Block2	697.0	55.5	WHITESPACE
Block2	722.0	533.5	MAP
Block2	221.0	512.5	MAP
Block2	731.0	490.5	MAP
Block2	689.0	41.5	WHITESPACE
Block2	754.0	518.5	MAP
Block2	740.0	536.5	MAP
Block2	723.0	416.5	MAP
Block2	696.0	55.5	WHITESPACE
Block2	639.0	279.5	MAP
Block2	680.0	54.5	WHITESPACE
Block2	680.0	54.5	WHITESPACE
Block2	749.0	285.5	MAP
Block2	489.0	249.5	MAP
Block2	489.0	246.5	MAP
Block2	475.0	250.5	MAP
Block2	477.0	252.5	MAP
Block2	518.0	246.5	MAP
Block2	731.0	451.5	MAP
Block2	735.0	475.5	MAP
Block2	741.0	474.5	MAP
Block2	690.0	47.5	WHITESPACE
Block2	738.0	454.5	MAP
Block2	739.0	454.5	MAP
Block2	739.0	454.5	MAP
Block2	704.0	294.5	MAP
Block2	616.0	223.5	MAP
Block2	673.0	351.5	MAP
Block2	741.0	434.5	MAP
Block2	795.0	352.5	MAP
Block2	270.0	314.5	MAP
Block2	413.0	585.5	MAP
Block2	333.0	423.5	MAP
Block2	450.0	451.5	MAP
Block2	206.0	589.5	MAP
Block2	201.0	596.5	MAP
Block2	732.0	38.5	WHITESPACE
Block2	445.0	302.5	MAP
Block2	486.0	264.5	MAP
Block2	535.0	268.5	MAP
Block2	496.0	186.5	MAP
Block2	497.0	186.5	MAP
Block2	554.0	207.5	MAP
Block2	479.0	304.5	MAP
Block2	422.0	579.5	MAP
Block2	455.0	398.5	MAP
Block2	497.0	300.5	MAP
Block2	522.0	262.5	MAP
Block2	481.0	290.5	MAP
Block2	497.0	295.5	MAP
Block2	347.0	376.5	MAP
Block2	376.0	381.5	MAP
Block2	241.0	533.5	MAP
Block2	247.0	539.5	MAP
Block2	408.0	356.5	MAP
Block2	494.0	373.5	MAP
Block2	456.0	317.5	MAP
Block2	452.0	316.5	MAP
Block2	448.0	318.5	MAP
Block2	460.0	296.5	MAP
Block2	473.0	412.5	MAP
Block2	421.0	583.5	MAP
Block2	336.0	380.5	MAP
Block2	379.0	476.5	MAP
Block2	409.0	569.5	MAP
Block2	615.0	417.5	MAP
Block2	619.0	367.5	MAP
Block2	464.0	281.5	MAP
Block2	502.0	289.5	MAP
Block2	562.0	301.5	MAP
Block2	558.0	305.5	MAP
Block2	562.0	310.5	MAP
Block2	623.0	382.5	MAP
Block2	592.0	339.5	MAP
Block2	662.0	514.5	MAP
Block2	590.0	418.5	MAP
Block2	405.0	510.5	MAP
Block2	405.0	499.5	MAP
Block2	556.0	597.5	MAP
Block2	680.0	605.5	MAP
Block2	663.0	459.5	MAP
Block2	429.0	525.5	MAP
Block2	655.0	49.5	WHITESPACE
Block2	724.0	511.5	MAP
Block2	456.0	567.5	MAP
Block2	414.0	525.5	MAP
Block2	484.0	570.5	MAP
Block2	482.0	540.5	MAP
Block2	715.0	503.5	MAP
Block2	682.0	592.5	MAP
Block2	443.0	516.5	MAP
Block2	408.0	507.5	MAP
Block2	398.0	518.5	MAP
Block2	379.0	490.5	MAP
Block2	340.0	684.5	MAP
Block2	732.0	47.5	WHITESPACE
Block2	395.0	503.5	MAP
Block2	610.0	613.5	MAP
Block2	370.0	504.5	MAP
Block2	361.0	539.5	MAP
Block2	352.0	520.5	MAP
Block2	352.0	525.5	MAP
Block2	348.0	287.5	MAP
Block3	585.0	495.5	MAP
Block3	690.0	492.5	MAP
Block3	651.0	43.5	WHITESPACE
Block3	416.0	525.5	MAP
Block3	621.0	603.5	MAP
Block3	689.0	507.5	MAP
Block3	488.0	661.5	MAP
Block3	503.0	680.5	MAP
Block3	654.0	389.5	MAP
Block3	444.0	321.5	MAP
Block3	481.0	338.5	MAP
Block3	530.0	300.5	MAP
Block3	531.0	297.5	MAP
Block3	444.0	376.5	MAP
Block3	481.0	370.5	MAP
Block3	391.0	324.5	MAP
Block3	530.0	438.5	MAP
Block3	605.0	269.5	MAP
Block3	553.0	384.5	MAP
Block3	575.0	428.5	MAP
Block3	716.0	607.5	MAP
Block3	754.0	646.5	MAP
Block3	705.0	608.5	MAP
Block3	629.0	572.5	MAP
Block3	739.0	648.5	MAP
Block3	744.0	486.5	MAP
Block3	634.0	430.5	MAP
Block3	684.0	437.5	MAP
Block3	546.0	490.5	MAP
Block3	610.0	365.5	MAP
Block3	618.0	369.5	MAP
Block3	683.0	387.5	MAP
Block3	600.0	302.5	MAP
Block3	798.0	419.5	MAP
Block3	646.0	476.5	MAP
Block3	596.0	271.5	MAP
Block3	355.0	283.5	MAP
Block3	320.0	225.5	MAP
Block4	358.0	383.5	MAP
Block4	660.0	49.5	WHITESPACE
Block4	522.0	464.5	MAP
Block4	364.0	697.5	MAP
Block4	694.0	56.5	WHITESPACE
Block4	694.0	56.5	WHITESPACE
Block4	694.0	56.5	WHITESPACE
Block4	552.0	569.5	MAP
Block4	568.0	594.5	MAP
Block4	423.0	666.5	MAP
Block4	506.0	675.5	MAP
Block4	619.0	650.5	MAP
Block4	562.0	561.5	MAP
Block4	643.0	578.5	MAP
Block4	369.0	567.5	MAP
Block4	468.0	504.5	MAP
Block4	340.0	529.5	MAP
Block4	455.0	531.5	MAP
Block4	470.0	473.5	MAP
Block4	407.0	558.5	MAP
Block4	460.0	541.5	MAP
Block4	402.0	558.5	MAP
Block4	487.0	470.5	MAP
Block4	536.0	454.5	MAP
Block4	687.0	512.5	MAP
Block4	783.0	517.5	MAP
Block4	689.0	318.5	MAP
Block4	775.0	356.5	MAP
Block4	784.0	547.5	MAP
Block4	420.0	356.5	MAP
Block4	443.0	649.5	MAP
Block4	408.0	607.5	MAP
Block4	372.0	614.5	MAP
Block4	318.0	576.5	MAP
Block4	298.0	533.5	MAP
Block4	319.0	582.5	MAP
Block4	338.0	640.5	MAP
Block4	580.0	330.5	MAP
Block4	641.0	514.5	MAP
Block4	618.0	386.5	MAP
Block4	582.0	403.5	MAP
Block4	634.0	456.5	MAP
Block4	647.0	490.5	MAP
Block4	634.0	406.5	MAP
Block4	576.0	363.5	MAP
Block4	529.0	683.5	MAP
Block4	521.0	622.5	MAP
Block4	488.0	587.5	MAP
Block4	403.0	509.5	MAP
Block4	669.0	637.5	MAP
Block4	377.0	683.5	MAP
Block4	402.0	503.5	MAP
Block4	361.0	666.5	MAP
Block4	398.0	503.5	MAP
Block4	377.0	633.5	MAP
Block4	402.0	532.5	MAP
Block4	408.0	500.5	MAP
Block4	426.0	505.5	MAP
Block4	394.0	574.5	MAP
Block4	682.0	49.5	WHITESPACE
Block4	403.0	491.5	MAP
Block4	413.0	512.5	MAP
