Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	691.0	44.5	WHITESPACE
Block1	525.0	288.5	MAP
Block1	336.0	462.5	MAP
Block1	348.0	701.5	MAP
Block1	350.0	671.5	MAP
Block1	354.0	651.5	MAP
Block1	355.0	668.5	MAP
Block1	355.0	664.5	MAP
Block1	422.0	639.5	MAP
Block1	358.0	662.5	MAP
Block1	481.0	375.5	MAP
Block1	494.0	594.5	MAP
Block1	355.0	640.5	MAP
Block1	350.0	670.5	MAP
Block1	455.0	658.5	MAP
Block1	612.0	596.5	MAP
Block1	687.0	358.5	MAP
Block1	712.0	374.5	MAP
Block1	344.0	682.5	MAP
Block1	471.0	650.5	MAP
Block1	518.0	646.5	MAP
Block1	641.0	463.5	MAP
Block1	412.0	655.5	MAP
Block1	744.0	47.5	WHITESPACE
Block1	657.0	344.5	MAP
Block1	429.0	582.5	MAP
Block1	282.0	628.5	MAP
Block1	241.0	640.5	MAP
Block1	247.0	608.5	MAP
Block1	296.0	442.5	MAP
Block1	242.0	643.5	MAP
Block1	229.0	639.5	MAP
Block1	225.0	648.5	MAP
Block1	271.0	627.5	MAP
Block1	352.0	604.5	MAP
Block1	672.0	345.5	MAP
Block1	265.0	656.5	MAP
Block1	428.0	354.5	MAP
Block1	330.0	662.5	MAP
Block1	236.0	655.5	MAP
Block1	275.0	644.5	MAP
Block1	409.0	613.5	MAP
Block1	641.0	363.5	MAP
Block1	641.0	406.5	MAP
Block1	592.0	453.5	MAP
Block1	443.0	467.5	MAP
Block1	660.0	351.5	MAP
Block1	481.0	570.5	MAP
Block1	556.0	623.5	MAP
Block1	597.0	455.5	MAP
Block1	590.0	558.5	MAP
Block1	582.0	632.5	MAP
Block1	622.0	421.5	MAP
Block1	695.0	356.5	MAP
Block1	445.0	247.5	MAP
Block1	662.0	347.5	MAP
Block1	585.0	420.5	MAP
Block1	637.0	370.5	MAP
Block1	696.0	350.5	MAP
Block1	658.0	411.5	MAP
Block1	531.0	279.5	MAP
Block1	636.0	312.5	MAP
Block1	614.0	287.5	MAP
Block1	694.0	329.5	MAP
Block1	647.0	283.5	MAP
