Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	713.0	242.5	MAP
Block1	342.0	529.5	MAP
Block1	337.0	529.5	MAP
Block1	359.0	541.5	MAP
Block1	421.0	543.5	MAP
Block1	352.0	541.5	MAP
Block1	381.0	337.5	MAP
Block1	367.0	522.5	MAP
Block1	400.0	596.5	MAP
Block1	369.0	550.5	MAP
Block1	371.0	560.5	MAP
Block1	449.0	428.5	MAP
Block1	412.0	381.5	MAP
Block1	378.0	478.5	MAP
Block1	636.0	363.5	MAP
Block1	489.0	490.5	MAP
Block1	737.0	363.5	MAP
Block1	759.0	387.5	MAP
Block1	713.0	424.5	MAP
Block1	760.0	388.5	MAP
Block1	445.0	491.5	MAP
Block1	529.0	453.5	MAP
Block1	457.0	481.5	MAP
Block1	496.0	413.5	MAP
Block1	537.0	392.5	MAP
Block1	500.0	379.5	MAP
Block1	484.0	418.5	MAP
Block1	529.0	368.5	MAP
Block1	593.0	621.5	MAP
Block1	406.0	418.5	MAP
Block1	441.0	412.5	MAP
Block1	493.0	474.5	MAP
Block1	645.0	601.5	MAP
Block1	643.0	427.5	MAP
Block1	681.0	391.5	MAP
Block1	679.0	388.5	MAP
Block1	602.0	451.5	MAP
Block1	453.0	356.5	MAP
Block1	621.0	405.5	MAP
Block1	640.0	395.5	MAP
Block1	648.0	377.5	MAP
Block1	372.0	438.5	MAP
Block1	485.0	633.5	MAP
Block1	564.0	665.5	MAP
Block1	669.0	362.5	MAP
Block1	693.0	368.5	MAP
Block1	662.0	444.5	MAP
Block1	439.0	297.5	MAP
Block1	569.0	444.5	MAP
Block1	590.0	553.5	MAP
Block1	586.0	560.5	MAP
Block1	486.0	331.5	MAP
Block1	628.0	586.5	MAP
Block1	590.0	670.5	MAP
Block1	595.0	688.5	MAP
Block1	573.0	685.5	MAP
Block1	446.0	401.5	MAP
Block1	653.0	668.5	MAP
Block1	731.0	43.5	WHITESPACE
Block1	407.0	348.5	MAP
Block1	443.0	392.5	MAP
Block1	688.0	42.5	WHITESPACE
Block1	647.0	675.5	MAP
Block1	623.0	415.5	MAP
Block1	593.0	362.5	MAP
Block1	450.0	403.5	MAP
Block1	610.0	417.5	MAP
Block1	553.0	416.5	MAP
Block1	623.0	437.5	MAP
Block1	607.0	376.5	MAP
Block1	479.0	334.5	MAP
Block1	442.0	572.5	MAP
Block1	456.0	347.5	MAP
Block1	452.0	397.5	MAP
Block1	417.0	469.5	MAP
Block1	470.0	449.5	MAP
Block1	449.0	399.5	MAP
Block1	416.0	430.5	MAP
Block1	399.0	529.5	MAP
Block1	355.0	522.5	MAP
Block1	388.0	441.5	MAP
Block2	318.0	538.5	MAP
Block2	677.0	254.5	MAP
Block2	334.0	534.5	MAP
Block2	682.0	265.5	MAP
Block2	688.0	289.5	MAP
Block2	383.0	492.5	MAP
Block2	517.0	384.5	MAP
Block2	357.0	553.5	MAP
Block2	735.0	409.5	MAP
Block2	535.0	520.5	MAP
Block2	506.0	531.5	MAP
Block2	581.0	448.5	MAP
Block2	727.0	420.5	MAP
Block2	614.0	486.5	MAP
Block2	550.0	471.5	MAP
Block2	439.0	377.5	MAP
Block2	516.0	437.5	MAP
Block2	585.0	418.5	MAP
Block2	568.0	440.5	MAP
Block2	432.0	308.5	MAP
Block2	609.0	394.5	MAP
Block2	650.0	408.5	MAP
Block2	629.0	412.5	MAP
Block2	680.0	388.5	MAP
Block2	439.0	454.5	MAP
Block2	370.0	629.5	MAP
Block2	588.0	679.5	MAP
Block2	655.0	398.5	MAP
Block2	633.0	457.5	MAP
Block2	600.0	466.5	MAP
Block2	356.0	420.5	MAP
Block2	554.0	640.5	MAP
Block2	576.0	679.5	MAP
Block2	547.0	648.5	MAP
Block2	487.0	672.5	MAP
Block2	727.0	47.5	WHITESPACE
Block2	377.0	552.5	MAP
Block2	515.0	659.5	MAP
Block2	583.0	613.5	MAP
Block2	465.0	283.5	MAP
Block2	465.0	300.5	MAP
Block2	630.0	604.5	MAP
Block2	638.0	626.5	MAP
Block2	567.0	553.5	MAP
Block2	615.0	617.5	MAP
Block2	587.0	528.5	MAP
Block2	523.0	470.5	MAP
Block2	558.0	636.5	MAP
Block2	530.0	346.5	MAP
Block2	484.0	296.5	MAP
Block2	443.0	418.5	MAP
Block2	502.0	574.5	MAP
Block2	499.0	468.5	MAP
Block2	479.0	516.5	MAP
Block2	443.0	425.5	MAP
Block2	504.0	415.5	MAP
Block2	504.0	454.5	MAP
Block2	484.0	435.5	MAP
Block2	527.0	297.5	MAP
Block2	367.0	325.5	MAP
Block2	337.0	509.5	MAP
Block2	361.0	362.5	MAP
Block2	380.0	404.5	MAP
Block2	737.0	52.5	WHITESPACE
Block2	322.0	439.5	MAP
Block2	322.0	394.5	MAP
Block2	491.0	319.5	MAP
Block2	347.0	401.5	MAP
Block2	336.0	459.5	MAP
Block2	720.0	42.5	WHITESPACE
Block3	488.0	359.5	MAP
Block3	674.0	346.5	MAP
Block3	312.0	618.5	MAP
Block3	349.0	600.5	MAP
Block3	420.0	578.5	MAP
Block3	481.0	524.5	MAP
Block3	542.0	492.5	MAP
Block3	574.0	419.5	MAP
Block3	653.0	377.5	MAP
Block3	669.0	358.5	MAP
Block3	650.0	431.5	MAP
Block3	499.0	545.5	MAP
Block3	523.0	610.5	MAP
Block3	363.0	636.5	MAP
Block3	377.0	633.5	MAP
Block3	535.0	561.5	MAP
Block3	585.0	418.5	MAP
Block3	523.0	550.5	MAP
Block3	480.0	604.5	MAP
Block3	744.0	366.5	MAP
Block3	669.0	546.5	MAP
Block3	712.0	418.5	MAP
Block3	673.0	468.5	MAP
Block3	681.0	421.5	MAP
Block3	648.0	520.5	MAP
Block3	726.0	442.5	MAP
Block3	601.0	447.5	MAP
Block3	659.0	404.5	MAP
Block3	565.0	406.5	MAP
Block3	704.0	399.5	MAP
Block3	263.0	432.5	MAP
Block3	706.0	43.5	WHITESPACE
Block3	666.0	47.5	WHITESPACE
Block3	558.0	683.5	MAP
Block3	740.0	51.5	WHITESPACE
Block3	675.0	416.5	MAP
Block3	638.0	482.5	MAP
Block3	367.0	361.5	MAP
Block3	587.0	261.5	MAP
Block3	653.0	297.5	MAP
Block3	565.0	521.5	MAP
Block3	237.0	89.5	MAP
Block3	693.0	302.5	MAP
Block3	666.0	298.5	MAP
Block3	668.0	394.5	MAP
Block3	705.0	424.5	MAP
Block3	581.0	428.5	MAP
Block3	594.0	297.5	MAP
Block3	612.0	402.5	MAP
Block3	663.0	331.5	MAP
Block3	681.0	331.5	MAP
Block3	659.0	467.5	MAP
Block3	468.0	333.5	MAP
Block3	537.0	600.5	MAP
Block3	334.0	368.5	MAP
Block3	325.0	351.5	MAP
Block3	562.0	635.5	MAP
Block3	500.0	560.5	MAP
Block3	506.0	621.5	MAP
Block3	488.0	671.5	MAP
Block3	405.0	627.5	MAP
Block3	424.0	583.5	MAP
Block3	417.0	542.5	MAP
Block3	395.0	503.5	MAP
Block3	554.0	255.5	MAP
Block3	473.0	330.5	MAP
Block3	475.0	362.5	MAP
Block3	693.0	607.5	MAP
Block3	619.0	536.5	MAP
Block3	539.0	456.5	MAP
Block3	579.0	526.5	MAP
Block3	693.0	582.5	MAP
Block3	538.0	222.5	MAP
Block3	443.0	303.5	MAP
Block3	508.0	498.5	MAP
Block3	499.0	557.5	MAP
Block3	475.0	594.5	MAP
Block3	452.0	332.5	MAP
Block3	453.0	310.5	MAP
Block3	503.0	516.5	MAP
Block3	566.0	369.5	MAP
Block3	400.0	468.5	MAP
Block3	523.0	300.5	MAP
Block3	363.0	381.5	MAP
Block3	328.0	421.5	MAP
Block3	343.0	461.5	MAP
Block3	753.0	51.5	WHITESPACE
Block3	717.0	40.5	WHITESPACE
Block3	316.0	521.5	MAP
Block4	532.0	359.5	MAP
Block4	321.0	570.5	MAP
Block4	532.0	390.5	MAP
Block4	663.0	294.5	MAP
Block4	334.0	572.5	MAP
Block4	444.0	455.5	MAP
Block4	343.0	545.5	MAP
Block4	384.0	499.5	MAP
Block4	443.0	440.5	MAP
Block4	379.0	478.5	MAP
Block4	531.0	460.5	MAP
Block4	413.0	583.5	MAP
Block4	524.0	576.5	MAP
Block4	571.0	511.5	MAP
Block4	582.0	439.5	MAP
Block4	609.0	279.5	MAP
Block4	659.0	457.5	MAP
Block4	636.0	499.5	MAP
Block4	715.0	387.5	MAP
Block4	753.0	389.5	MAP
Block4	395.0	596.5	MAP
Block4	510.0	592.5	MAP
Block4	631.0	360.5	MAP
Block4	679.0	323.5	MAP
Block4	675.0	365.5	MAP
Block4	607.0	591.5	MAP
Block4	651.0	355.5	MAP
Block4	594.0	514.5	MAP
Block4	562.0	540.5	MAP
Block4	516.0	570.5	MAP
Block4	737.0	44.5	WHITESPACE
Block4	737.0	44.5	WHITESPACE
Block4	629.0	249.5	MAP
Block4	631.0	543.5	MAP
Block4	674.0	610.5	MAP
Block4	578.0	549.5	MAP
Block4	629.0	524.5	MAP
Block4	525.0	497.5	MAP
Block4	500.0	423.5	MAP
Block4	542.0	485.5	MAP
Block4	496.0	435.5	MAP
Block4	669.0	48.5	WHITESPACE
Block4	455.0	323.5	MAP
Block4	533.0	527.5	MAP
Block4	511.0	482.5	MAP
Block4	472.0	370.5	MAP
Block4	446.0	312.5	MAP
Block4	624.0	351.5	MAP
Block4	462.0	396.5	MAP
Block4	529.0	503.5	MAP
Block4	539.0	438.5	MAP
Block4	538.0	389.5	MAP
