Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	475.0	376.5	MAP
Block1	374.0	517.5	MAP
Block1	350.0	560.5	MAP
Block1	338.0	565.5	MAP
Block1	654.0	374.5	MAP
Block1	434.0	649.5	MAP
Block1	488.0	564.5	MAP
Block1	629.0	367.5	MAP
Block1	648.0	361.5	MAP
Block1	665.0	340.5	MAP
Block1	622.0	348.5	MAP
Block1	674.0	334.5	MAP
Block1	669.0	330.5	MAP
Block1	673.0	327.5	MAP
Block1	676.0	321.5	MAP
Block1	687.0	319.5	MAP
Block1	688.0	321.5	MAP
Block1	689.0	337.5	MAP
Block1	434.0	392.5	MAP
Block1	650.0	356.5	MAP
Block1	677.0	322.5	MAP
Block1	693.0	326.5	MAP
Block1	340.0	402.5	MAP
Block1	639.0	344.5	MAP
Block1	585.0	520.5	MAP
Block1	706.0	295.5	MAP
Block1	723.0	266.5	MAP
Block1	727.0	265.5	MAP
Block1	720.0	257.5	MAP
Block1	612.0	542.5	MAP
Block1	699.0	300.5	MAP
Block1	722.0	276.5	MAP
Block1	724.0	282.5	MAP
Block1	713.0	305.5	MAP
Block1	730.0	276.5	MAP
Block1	727.0	298.5	MAP
Block1	711.0	318.5	MAP
Block1	653.0	369.5	MAP
Block1	604.0	550.5	MAP
Block1	632.0	536.5	MAP
Block1	719.0	380.5	MAP
Block1	733.0	346.5	MAP
Block1	737.0	358.5	MAP
Block1	734.0	348.5	MAP
Block1	735.0	350.5	MAP
Block1	723.0	367.5	MAP
Block1	732.0	374.5	MAP
Block1	778.0	384.5	MAP
Block1	818.0	362.5	MAP
Block1	744.0	359.5	MAP
Block1	665.0	488.5	MAP
Block1	636.0	542.5	MAP
Block1	752.0	398.5	MAP
Block1	735.0	365.5	MAP
Block1	737.0	348.5	MAP
Block1	608.0	404.5	MAP
Block1	608.0	417.5	MAP
Block1	611.0	417.5	MAP
Block1	639.0	423.5	MAP
Block1	621.0	431.5	MAP
Block1	387.0	394.5	MAP
Block1	602.0	394.5	MAP
Block1	617.0	387.5	MAP
Block1	611.0	403.5	MAP
Block1	650.0	370.5	MAP
Block1	672.0	389.5	MAP
Block1	728.0	369.5	MAP
Block1	722.0	399.5	MAP
Block1	556.0	362.5	MAP
Block1	650.0	433.5	MAP
Block1	622.0	634.5	MAP
Block1	611.0	682.5	MAP
Block1	686.0	386.5	MAP
Block1	706.0	359.5	MAP
Block1	629.0	586.5	MAP
Block1	609.0	673.5	MAP
Block1	682.0	430.5	MAP
Block1	705.0	354.5	MAP
Block1	626.0	632.5	MAP
Block1	598.0	692.5	MAP
Block1	597.0	592.5	MAP
Block1	640.0	439.5	MAP
Block1	698.0	401.5	MAP
Block1	710.0	353.5	MAP
Block1	445.0	251.5	MAP
Block1	663.0	351.5	MAP
Block1	596.0	542.5	MAP
Block1	602.0	589.5	MAP
Block1	680.0	336.5	MAP
Block1	690.0	374.5	MAP
Block1	643.0	420.5	MAP
Block1	535.0	377.5	MAP
Block1	356.0	317.5	MAP
Block1	583.0	581.5	MAP
Block1	414.0	366.5	MAP
Block1	462.0	347.5	MAP
Block1	367.0	317.5	MAP
Block1	595.0	603.5	MAP
Block1	593.0	617.5	MAP
Block1	453.0	454.5	MAP
Block1	354.0	310.5	MAP
Block1	451.0	452.5	MAP
Block1	579.0	585.5	MAP
Block1	480.0	468.5	MAP
Block1	423.0	478.5	MAP
Block1	336.0	451.5	MAP
Block1	405.0	459.5	MAP
Block1	586.0	586.5	MAP
Block1	583.0	615.5	MAP
