Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	581.0	352.5	MAP
Block1	416.0	606.5	MAP
Block1	525.0	525.5	MAP
Block1	370.0	672.5	MAP
Block1	442.0	632.5	MAP
Block1	478.0	435.5	MAP
Block1	451.0	620.5	MAP
Block1	365.0	698.5	MAP
Block1	394.0	649.5	MAP
Block1	502.0	642.5	MAP
Block1	355.0	698.5	MAP
Block1	328.0	657.5	MAP
Block1	451.0	639.5	MAP
Block1	374.0	677.5	MAP
Block1	394.0	666.5	MAP
Block1	588.0	625.5	MAP
Block1	381.0	698.5	MAP
Block1	634.0	594.5	MAP
Block1	654.0	447.5	MAP
Block1	501.0	666.5	MAP
Block1	542.0	647.5	MAP
Block1	605.0	642.5	MAP
Block1	444.0	665.5	MAP
Block1	369.0	678.5	MAP
Block1	633.0	513.5	MAP
Block1	693.0	391.5	MAP
Block1	358.0	685.5	MAP
Block1	384.0	684.5	MAP
Block1	365.0	675.5	MAP
Block1	535.0	594.5	MAP
Block1	629.0	502.5	MAP
Block1	449.0	671.5	MAP
Block1	560.0	644.5	MAP
Block1	634.0	426.5	MAP
Block1	737.0	401.5	MAP
Block1	640.0	398.5	MAP
Block1	636.0	329.5	MAP
Block1	657.0	315.5	MAP
Block1	722.0	376.5	MAP
Block1	703.0	333.5	MAP
Block1	637.0	330.5	MAP
Block1	727.0	355.5	MAP
Block1	654.0	334.5	MAP
Block1	734.0	389.5	MAP
Block1	516.0	445.5	MAP
Block1	641.0	486.5	MAP
Block1	711.0	425.5	MAP
Block1	723.0	405.5	MAP
Block1	722.0	466.5	MAP
Block1	709.0	417.5	MAP
Block1	680.0	467.5	MAP
Block1	725.0	417.5	MAP
Block1	654.0	45.5	WHITESPACE
Block1	730.0	399.5	MAP
Block1	688.0	43.5	WHITESPACE
Block1	688.0	43.5	WHITESPACE
Block1	662.0	477.5	MAP
Block1	680.0	452.5	MAP
Block1	515.0	449.5	MAP
Block1	579.0	671.5	MAP
Block1	630.0	656.5	MAP
Block1	574.0	610.5	MAP
Block1	611.0	507.5	MAP
Block1	580.0	453.5	MAP
Block1	690.0	47.5	WHITESPACE
Block1	605.0	550.5	MAP
Block1	597.0	461.5	MAP
Block1	510.0	435.5	MAP
Block1	605.0	468.5	MAP
