Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	316.0	512.5	MAP
Block1	384.0	447.5	MAP
Block1	336.0	470.5	MAP
Block1	361.0	462.5	MAP
Block1	354.0	514.5	MAP
Block1	366.0	468.5	MAP
Block1	409.0	420.5	MAP
Block1	370.0	269.5	MAP
Block1	359.0	462.5	MAP
Block1	392.0	373.5	MAP
Block1	373.0	224.5	MAP
Block1	294.0	601.5	MAP
Block1	355.0	504.5	MAP
Block1	311.0	562.5	MAP
Block1	314.0	565.5	MAP
Block1	366.0	540.5	MAP
Block1	405.0	449.5	MAP
Block1	358.0	528.5	MAP
Block1	373.0	433.5	MAP
Block1	350.0	497.5	MAP
Block1	423.0	265.5	MAP
Block1	390.0	172.5	MAP
Block1	488.0	243.5	MAP
Block1	518.0	244.5	MAP
Block1	374.0	211.5	MAP
Block1	393.0	229.5	MAP
Block1	412.0	204.5	MAP
Block1	354.0	199.5	MAP
Block1	674.0	295.5	MAP
Block1	572.0	253.5	MAP
Block1	640.0	265.5	MAP
Block1	655.0	269.5	MAP
Block1	710.0	336.5	MAP
Block1	636.0	366.5	MAP
Block1	672.0	315.5	MAP
Block1	679.0	376.5	MAP
Block1	588.0	350.5	MAP
Block1	719.0	267.5	MAP
Block1	717.0	259.5	MAP
Block1	724.0	287.5	MAP
Block1	609.0	264.5	MAP
Block1	739.0	275.5	MAP
Block1	551.0	370.5	MAP
Block1	600.0	474.5	MAP
Block1	618.0	633.5	MAP
Block1	604.0	311.5	MAP
Block1	676.0	279.5	MAP
Block1	616.0	366.5	MAP
Block1	661.0	441.5	MAP
Block1	545.0	383.5	MAP
Block1	589.0	656.5	MAP
Block1	595.0	637.5	MAP
Block1	608.0	499.5	MAP
Block1	639.0	620.5	MAP
Block1	374.0	424.5	MAP
Block1	357.0	408.5	MAP
Block1	373.0	323.5	MAP
Block1	590.0	405.5	MAP
Block1	531.0	373.5	MAP
Block1	441.0	289.5	MAP
Block1	442.0	331.5	MAP
Block1	449.0	456.5	MAP
Block1	453.0	365.5	MAP
Block1	608.0	646.5	MAP
Block1	582.0	658.5	MAP
Block1	502.0	404.5	MAP
Block1	511.0	599.5	MAP
Block1	417.0	526.5	MAP
Block1	421.0	671.5	MAP
Block1	413.0	570.5	MAP
Block1	720.0	446.5	MAP
Block1	430.0	615.5	MAP
Block1	381.0	321.5	MAP
Block1	417.0	446.5	MAP
Block1	373.0	405.5	MAP
Block1	386.0	348.5	MAP
Block1	417.0	376.5	MAP
Block1	336.0	315.5	MAP
Block1	334.0	296.5	MAP
Block1	345.0	323.5	MAP
Block1	340.0	579.5	MAP
Block1	348.0	314.5	MAP
Block1	351.0	304.5	MAP
Block1	337.0	290.5	MAP
Block1	358.0	290.5	MAP
Block1	358.0	307.5	MAP
Block1	341.0	290.5	MAP
Block1	424.0	326.5	MAP
Block1	607.0	361.5	MAP
Block1	410.0	425.5	MAP
Block1	422.0	424.5	MAP
Block1	415.0	303.5	MAP
Block1	394.0	431.5	MAP
Block1	355.0	397.5	MAP
Block1	348.0	403.5	MAP
Block1	449.0	453.5	MAP
Block1	352.0	599.5	MAP
Block1	356.0	596.5	MAP
Block1	723.0	50.5	WHITESPACE
Block1	334.0	618.5	MAP
Block1	390.0	636.5	MAP
Block1	370.0	611.5	MAP
Block1	356.0	587.5	MAP
Block2	683.0	333.5	MAP
Block2	489.0	468.5	MAP
Block2	474.0	591.5	MAP
Block2	462.0	547.5	MAP
Block2	705.0	359.5	MAP
Block2	732.0	329.5	MAP
Block2	660.0	360.5	MAP
Block2	603.0	332.5	MAP
Block2	374.0	565.5	MAP
Block2	355.0	599.5	MAP
Block2	362.0	640.5	MAP
Block2	625.0	392.5	MAP
Block2	359.0	561.5	MAP
Block2	376.0	564.5	MAP
Block2	329.0	554.5	MAP
Block2	327.0	536.5	MAP
Block2	361.0	424.5	MAP
Block2	356.0	454.5	MAP
Block2	370.0	265.5	MAP
Block2	395.0	238.5	MAP
Block2	453.0	244.5	MAP
Block2	504.0	240.5	MAP
Block2	578.0	220.5	MAP
Block2	443.0	235.5	MAP
Block2	689.0	298.5	MAP
Block2	710.0	318.5	MAP
Block2	648.0	317.5	MAP
Block2	607.0	243.5	MAP
Block2	623.0	230.5	MAP
Block2	608.0	294.5	MAP
Block2	632.0	657.5	MAP
Block2	647.0	649.5	MAP
Block2	689.0	49.5	WHITESPACE
Block2	681.0	521.5	MAP
Block2	695.0	325.5	MAP
Block2	674.0	380.5	MAP
Block2	637.0	370.5	MAP
Block2	758.0	423.5	MAP
Block2	723.0	388.5	MAP
Block2	715.0	380.5	MAP
Block2	679.0	397.5	MAP
Block2	648.0	435.5	MAP
Block2	718.0	381.5	MAP
Block2	523.0	442.5	MAP
Block2	662.0	402.5	MAP
Block2	693.0	399.5	MAP
Block2	612.0	401.5	MAP
Block2	693.0	463.5	MAP
Block2	713.0	437.5	MAP
Block2	612.0	377.5	MAP
Block2	616.0	318.5	MAP
Block2	634.0	304.5	MAP
Block2	597.0	402.5	MAP
Block2	596.0	459.5	MAP
Block2	566.0	415.5	MAP
Block2	773.0	392.5	MAP
Block2	727.0	492.5	MAP
Block2	533.0	541.5	MAP
Block2	622.0	657.5	MAP
Block2	556.0	677.5	MAP
Block2	638.0	420.5	MAP
Block2	500.0	368.5	MAP
Block2	554.0	396.5	MAP
Block2	583.0	415.5	MAP
Block2	427.0	478.5	MAP
Block2	477.0	437.5	MAP
Block2	513.0	493.5	MAP
Block2	575.0	527.5	MAP
Block2	588.0	409.5	MAP
Block2	486.0	403.5	MAP
Block2	458.0	376.5	MAP
Block2	426.0	345.5	MAP
Block2	385.0	279.5	MAP
Block2	357.0	452.5	MAP
Block2	373.0	466.5	MAP
Block2	451.0	298.5	MAP
Block2	414.0	359.5	MAP
Block2	355.0	623.5	MAP
Block2	371.0	628.5	MAP
Block2	430.0	629.5	MAP
Block2	535.0	478.5	MAP
Block2	551.0	584.5	MAP
Block2	603.0	610.5	MAP
Block2	373.0	623.5	MAP
Block2	575.0	663.5	MAP
Block2	506.0	524.5	MAP
Block2	443.0	390.5	MAP
Block2	365.0	557.5	MAP
Block2	455.0	326.5	MAP
Block2	518.0	345.5	MAP
Block2	407.0	276.5	MAP
Block2	408.0	365.5	MAP
Block2	312.0	629.5	MAP
Block2	479.0	365.5	MAP
Block2	352.0	603.5	MAP
Block2	240.0	374.5	MAP
Block2	377.0	622.5	MAP
Block2	379.0	618.5	MAP
Block2	352.0	632.5	MAP
Block2	361.0	568.5	MAP
Block2	358.0	466.5	MAP
Block2	741.0	382.5	MAP
Block2	459.0	550.5	MAP
Block2	329.0	579.5	MAP
Block2	323.0	582.5	MAP
Block3	441.0	315.5	MAP
Block3	370.0	527.5	MAP
Block3	217.0	419.5	MAP
Block3	262.0	495.5	MAP
Block3	343.0	579.5	MAP
Block3	737.0	351.5	MAP
Block3	472.0	215.5	MAP
Block3	462.0	229.5	MAP
Block3	481.0	239.5	MAP
Block3	676.0	298.5	MAP
Block3	622.0	258.5	MAP
Block3	775.0	406.5	MAP
Block3	737.0	477.5	MAP
Block3	562.0	276.5	MAP
Block3	598.0	648.5	MAP
Block3	576.0	656.5	MAP
Block3	842.0	394.5	MAP
Block3	804.0	396.5	MAP
Block3	648.0	352.5	MAP
Block3	771.0	444.5	MAP
Block3	600.0	319.5	MAP
Block3	428.0	337.5	MAP
Block3	365.0	560.5	MAP
Block3	352.0	592.5	MAP
Block4	472.0	216.5	MAP
Block4	698.0	258.5	MAP
Block4	723.0	285.5	MAP
Block4	724.0	285.5	MAP
Block4	730.0	311.5	MAP
Block4	549.0	434.5	MAP
Block4	732.0	312.5	MAP
Block4	754.0	295.5	MAP
