Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	673.0	43.5	WHITESPACE
Block1	318.0	442.5	MAP
Block1	373.0	396.5	MAP
Block1	381.0	582.5	MAP
Block1	661.0	343.5	MAP
Block1	726.0	315.5	MAP
Block1	374.0	578.5	MAP
Block1	376.0	603.5	MAP
Block1	487.0	402.5	MAP
Block1	446.0	513.5	MAP
Block1	349.0	615.5	MAP
Block1	407.0	460.5	MAP
Block1	338.0	611.5	MAP
Block1	444.0	339.5	MAP
Block1	452.0	341.5	MAP
Block1	626.0	351.5	MAP
Block1	691.0	324.5	MAP
Block1	357.0	591.5	MAP
Block1	338.0	606.5	MAP
Block1	479.0	576.5	MAP
Block1	462.0	418.5	MAP
Block1	601.0	478.5	MAP
Block1	689.0	366.5	MAP
Block1	569.0	356.5	MAP
Block1	517.0	288.5	MAP
Block1	501.0	315.5	MAP
Block1	643.0	360.5	MAP
Block1	571.0	413.5	MAP
Block1	634.0	493.5	MAP
Block1	711.0	351.5	MAP
Block1	698.0	399.5	MAP
Block1	626.0	416.5	MAP
Block1	626.0	418.5	MAP
Block1	607.0	406.5	MAP
Block1	564.0	542.5	MAP
Block1	511.0	394.5	MAP
Block1	561.0	424.5	MAP
Block1	618.0	495.5	MAP
Block1	702.0	373.5	MAP
Block1	604.0	403.5	MAP
Block1	496.0	329.5	MAP
Block1	727.0	377.5	MAP
Block1	726.0	231.5	MAP
Block1	681.0	353.5	MAP
Block1	708.0	340.5	MAP
Block1	724.0	327.5	MAP
Block1	702.0	332.5	MAP
Block1	586.0	598.5	MAP
Block1	618.0	632.5	MAP
Block1	673.0	417.5	MAP
Block1	701.0	345.5	MAP
Block1	527.0	332.5	MAP
Block1	726.0	415.5	MAP
Block1	690.0	40.5	WHITESPACE
Block1	710.0	470.5	MAP
Block1	734.0	477.5	MAP
Block1	480.0	282.5	MAP
Block1	626.0	520.5	MAP
Block1	684.0	435.5	MAP
Block1	625.0	654.5	MAP
Block1	630.0	437.5	MAP
Block1	726.0	48.5	WHITESPACE
Block1	535.0	461.5	MAP
Block1	371.0	348.5	MAP
Block1	579.0	622.5	MAP
Block1	603.0	649.5	MAP
Block1	612.0	405.5	MAP
Block1	466.0	336.5	MAP
Block1	604.0	384.5	MAP
Block1	604.0	431.5	MAP
Block1	412.0	337.5	MAP
Block1	619.0	417.5	MAP
Block1	578.0	579.5	MAP
Block1	432.0	343.5	MAP
Block1	384.0	332.5	MAP
Block1	748.0	225.5	MAP
Block1	581.0	327.5	MAP
Block1	587.0	447.5	MAP
Block1	576.0	482.5	MAP
Block1	585.0	384.5	MAP
Block1	734.0	273.5	MAP
Block1	629.0	517.5	MAP
Block1	589.0	614.5	MAP
Block1	581.0	637.5	MAP
Block1	543.0	417.5	MAP
Block1	602.0	390.5	MAP
Block1	405.0	346.5	MAP
Block1	514.0	365.5	MAP
Block1	503.0	332.5	MAP
Block1	569.0	334.5	MAP
Block1	371.0	340.5	MAP
Block1	361.0	344.5	MAP
Block1	445.0	437.5	MAP
Block1	478.0	370.5	MAP
Block1	508.0	408.5	MAP
Block1	408.0	354.5	MAP
Block1	426.0	350.5	MAP
Block1	414.0	291.5	MAP
Block1	377.0	373.5	MAP
Block1	453.0	341.5	MAP
Block1	372.0	363.5	MAP
Block1	301.0	569.5	MAP
Block1	293.0	570.5	MAP
Block1	357.0	405.5	MAP
Block1	359.0	359.5	MAP
Block1	350.0	424.5	MAP
Block1	341.0	421.5	MAP
Block1	364.0	366.5	MAP
Block1	357.0	366.5	MAP
Block1	429.0	463.5	MAP
Block1	308.0	483.5	MAP
Block1	311.0	391.5	MAP
Block1	333.0	391.5	MAP
Block1	612.0	411.5	MAP
Block1	468.0	381.5	MAP
Block1	378.0	412.5	MAP
Block1	390.0	441.5	MAP
Block1	415.0	455.5	MAP
Block1	378.0	437.5	MAP
Block1	380.0	452.5	MAP
Block1	362.0	519.5	MAP
Block1	373.0	460.5	MAP
Block1	542.0	373.5	MAP
Block1	387.0	469.5	MAP
Block1	354.0	560.5	MAP
Block1	362.0	578.5	MAP
Block1	502.0	419.5	MAP
Block1	352.0	526.5	MAP
Block1	364.0	585.5	MAP
Block2	244.0	58.5	MAP
Block2	561.0	291.5	MAP
Block2	381.0	591.5	MAP
Block2	674.0	431.5	MAP
Block2	798.0	359.5	MAP
Block2	479.0	535.5	MAP
Block2	485.0	353.5	MAP
Block2	455.0	341.5	MAP
Block2	448.0	503.5	MAP
Block2	385.0	577.5	MAP
Block2	414.0	363.5	MAP
Block2	381.0	576.5	MAP
Block2	477.0	495.5	MAP
Block2	600.0	454.5	MAP
Block2	740.0	324.5	MAP
Block2	474.0	563.5	MAP
Block2	583.0	583.5	MAP
Block2	668.0	444.5	MAP
Block2	538.0	326.5	MAP
Block2	497.0	327.5	MAP
Block2	634.0	316.5	MAP
Block2	702.0	31.5	WHITESPACE
Block2	494.0	526.5	MAP
Block2	579.0	545.5	MAP
Block2	647.0	570.5	MAP
Block2	690.0	350.5	MAP
Block2	695.0	271.5	MAP
Block2	682.0	296.5	MAP
Block2	589.0	319.5	MAP
Block2	597.0	316.5	MAP
Block2	643.0	318.5	MAP
Block2	715.0	304.5	MAP
Block2	674.0	434.5	MAP
Block2	699.0	382.5	MAP
Block2	694.0	38.5	WHITESPACE
Block2	694.0	38.5	WHITESPACE
Block2	683.0	416.5	MAP
Block2	500.0	266.5	MAP
Block2	716.0	57.5	WHITESPACE
Block2	598.0	416.5	MAP
Block2	513.0	493.5	MAP
Block2	452.0	428.5	MAP
Block2	413.0	401.5	MAP
Block2	539.0	592.5	MAP
Block2	732.0	51.5	WHITESPACE
Block2	732.0	51.5	WHITESPACE
Block2	732.0	51.5	WHITESPACE
Block2	407.0	366.5	MAP
Block2	370.0	386.5	MAP
Block2	677.0	49.5	WHITESPACE
Block2	677.0	49.5	WHITESPACE
Block2	677.0	49.5	WHITESPACE
Block2	677.0	49.5	WHITESPACE
Block2	388.0	360.5	MAP
Block2	489.0	468.5	MAP
Block2	544.0	390.5	MAP
Block2	575.0	418.5	MAP
Block2	663.0	368.5	MAP
Block2	663.0	333.5	MAP
Block2	713.0	273.5	MAP
Block2	693.0	303.5	MAP
Block2	630.0	311.5	MAP
Block2	554.0	333.5	MAP
Block2	373.0	372.5	MAP
Block2	387.0	405.5	MAP
Block2	727.0	45.5	WHITESPACE
Block2	345.0	409.5	MAP
Block2	323.0	332.5	MAP
Block2	436.0	466.5	MAP
Block2	658.0	54.5	WHITESPACE
Block2	658.0	54.5	WHITESPACE
Block2	658.0	54.5	WHITESPACE
Block2	453.0	415.5	MAP
Block2	342.0	462.5	MAP
Block2	761.0	47.5	WHITESPACE
Block2	761.0	47.5	WHITESPACE
Block2	761.0	47.5	WHITESPACE
Block2	345.0	512.5	MAP
Block3	532.0	421.5	MAP
Block3	496.0	572.5	MAP
Block3	715.0	304.5	MAP
Block3	516.0	578.5	MAP
Block3	551.0	589.5	MAP
Block3	648.0	324.5	MAP
Block3	586.0	377.5	MAP
Block3	607.0	375.5	MAP
Block3	600.0	606.5	MAP
Block3	748.0	55.5	WHITESPACE
Block3	392.0	356.5	MAP
Block3	547.0	421.5	MAP
Block3	552.0	648.5	MAP
Block3	693.0	63.5	WHITESPACE
Block3	430.0	408.5	MAP
Block3	500.0	321.5	MAP
Block3	406.0	307.5	MAP
Block3	503.0	360.5	MAP
Block4	588.0	359.5	MAP
Block4	589.0	406.5	MAP
Block4	472.0	352.5	MAP
Block4	403.0	480.5	MAP
Block4	358.0	506.5	MAP
Block4	384.0	548.5	MAP
Block4	463.0	548.5	MAP
Block4	625.0	433.5	MAP
Block4	663.0	358.5	MAP
