Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	549.0	377.5	MAP
Block1	824.0	353.5	MAP
Block1	847.0	331.5	MAP
Block1	456.0	623.5	MAP
Block1	456.0	629.5	MAP
Block1	675.0	499.5	MAP
Block1	726.0	49.5	WHITESPACE
Block1	726.0	49.5	WHITESPACE
Block1	506.0	593.5	MAP
Block1	283.0	642.5	MAP
Block1	506.0	598.5	MAP
Block1	547.0	596.5	MAP
Block1	558.0	383.5	MAP
Block1	607.0	355.5	MAP
Block1	414.0	329.5	MAP
Block1	443.0	556.5	MAP
Block1	458.0	596.5	MAP
Block1	479.0	365.5	MAP
Block1	488.0	427.5	MAP
Block1	625.0	420.5	MAP
Block1	681.0	416.5	MAP
Block1	756.0	416.5	MAP
Block1	659.0	415.5	MAP
Block1	647.0	402.5	MAP
Block1	689.0	379.5	MAP
Block1	741.0	395.5	MAP
Block1	747.0	402.5	MAP
Block1	568.0	441.5	MAP
Block1	675.0	398.5	MAP
Block1	648.0	376.5	MAP
Block1	712.0	376.5	MAP
Block1	646.0	375.5	MAP
Block1	677.0	257.5	MAP
Block1	680.0	243.5	MAP
Block1	706.0	307.5	MAP
Block1	710.0	451.5	MAP
Block1	639.0	519.5	MAP
Block1	737.0	351.5	MAP
Block1	763.0	288.5	MAP
Block1	726.0	276.5	MAP
Block1	739.0	564.5	MAP
Block1	747.0	582.5	MAP
Block1	817.0	568.5	MAP
Block1	739.0	590.5	MAP
Block1	614.0	383.5	MAP
Block1	747.0	613.5	MAP
Block1	489.0	223.5	MAP
Block1	713.0	584.5	MAP
Block1	708.0	623.5	MAP
Block1	687.0	648.5	MAP
Block1	468.0	228.5	MAP
Block1	698.0	521.5	MAP
Block1	705.0	576.5	MAP
Block1	705.0	572.5	MAP
Block1	770.0	268.5	MAP
Block1	453.0	423.5	MAP
Block1	334.0	420.5	MAP
Block1	432.0	423.5	MAP
Block1	667.0	38.5	WHITESPACE
Block1	574.0	475.5	MAP
Block1	499.0	437.5	MAP
Block1	403.0	448.5	MAP
Block1	559.0	648.5	MAP
Block1	734.0	54.5	WHITESPACE
Block1	578.0	438.5	MAP
Block1	301.0	445.5	MAP
Block1	538.0	498.5	MAP
Block1	582.0	497.5	MAP
Block1	478.0	452.5	MAP
Block1	421.0	434.5	MAP
Block1	566.0	333.5	MAP
Block1	595.0	386.5	MAP
Block1	571.0	387.5	MAP
Block1	296.0	350.5	MAP
Block1	417.0	427.5	MAP
Block1	341.0	665.5	MAP
Block1	409.0	457.5	MAP
Block1	417.0	415.5	MAP
Block1	693.0	352.5	MAP
Block1	450.0	369.5	MAP
Block1	397.0	468.5	MAP
Block1	383.0	522.5	MAP
Block2	575.0	344.5	MAP
Block2	422.0	466.5	MAP
Block2	392.0	503.5	MAP
