Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	428.0	384.5	MAP
Block1	647.0	317.5	MAP
Block1	777.0	278.5	MAP
Block1	409.0	520.5	MAP
Block1	378.0	567.5	MAP
Block1	734.0	318.5	MAP
Block1	770.0	287.5	MAP
Block1	525.0	456.5	MAP
Block1	745.0	45.5	WHITESPACE
Block1	745.0	45.5	WHITESPACE
Block1	421.0	397.5	MAP
Block1	352.0	540.5	MAP
Block1	363.0	571.5	MAP
Block1	720.0	316.5	MAP
Block1	797.0	285.5	MAP
Block1	792.0	301.5	MAP
Block1	347.0	555.5	MAP
Block1	361.0	567.5	MAP
Block1	434.0	435.5	MAP
Block1	312.0	518.5	MAP
Block1	308.0	577.5	MAP
Block1	344.0	567.5	MAP
Block1	442.0	567.5	MAP
Block1	336.0	575.5	MAP
Block1	354.0	536.5	MAP
Block1	711.0	304.5	MAP
Block1	776.0	310.5	MAP
Block1	401.0	536.5	MAP
Block1	320.0	583.5	MAP
Block1	391.0	587.5	MAP
Block1	343.0	581.5	MAP
Block1	686.0	331.5	MAP
Block1	561.0	555.5	MAP
Block1	558.0	601.5	MAP
Block1	697.0	391.5	MAP
Block1	691.0	350.5	MAP
Block1	556.0	557.5	MAP
Block1	565.0	603.5	MAP
Block1	658.0	453.5	MAP
Block1	559.0	226.5	MAP
Block1	601.0	423.5	MAP
Block1	650.0	469.5	MAP
Block1	695.0	380.5	MAP
Block1	745.0	365.5	MAP
Block1	670.0	418.5	MAP
Block1	666.0	459.5	MAP
Block1	652.0	461.5	MAP
Block1	503.0	449.5	MAP
Block1	636.0	380.5	MAP
Block1	682.0	395.5	MAP
Block1	691.0	351.5	MAP
Block1	687.0	338.5	MAP
Block1	675.0	365.5	MAP
Block1	557.0	435.5	MAP
Block1	696.0	316.5	MAP
Block1	705.0	275.5	MAP
Block1	705.0	297.5	MAP
Block1	701.0	323.5	MAP
Block1	697.0	332.5	MAP
Block1	511.0	341.5	MAP
Block1	696.0	264.5	MAP
Block1	675.0	568.5	MAP
Block1	636.0	605.5	MAP
Block1	684.0	326.5	MAP
Block1	712.0	295.5	MAP
Block1	677.0	358.5	MAP
Block1	615.0	361.5	MAP
Block1	709.0	326.5	MAP
Block1	698.0	369.5	MAP
Block1	623.0	374.5	MAP
Block1	602.0	392.5	MAP
Block1	679.0	352.5	MAP
Block1	645.0	358.5	MAP
Block1	503.0	435.5	MAP
Block1	612.0	514.5	MAP
Block1	616.0	619.5	MAP
Block1	587.0	570.5	MAP
Block1	589.0	603.5	MAP
Block1	589.0	628.5	MAP
Block1	610.0	630.5	MAP
Block1	610.0	621.5	MAP
Block1	604.0	636.5	MAP
Block1	414.0	387.5	MAP
Block1	370.0	367.5	MAP
Block1	362.0	359.5	MAP
Block1	341.0	356.5	MAP
Block1	354.0	352.5	MAP
Block1	421.0	366.5	MAP
Block1	582.0	607.5	MAP
Block1	600.0	644.5	MAP
Block1	611.0	641.5	MAP
Block1	593.0	655.5	MAP
Block1	562.0	657.5	MAP
Block1	560.0	504.5	MAP
Block1	583.0	583.5	MAP
Block1	571.0	649.5	MAP
Block1	586.0	447.5	MAP
Block1	471.0	390.5	MAP
Block1	426.0	359.5	MAP
Block1	588.0	373.5	MAP
Block1	640.0	654.5	MAP
Block1	592.0	644.5	MAP
Block1	462.0	470.5	MAP
Block1	392.0	446.5	MAP
Block1	399.0	603.5	MAP
Block1	504.0	688.5	MAP
Block1	525.0	505.5	MAP
Block1	585.0	630.5	MAP
Block1	603.0	672.5	MAP
Block1	643.0	668.5	MAP
Block1	587.0	676.5	MAP
Block1	574.0	682.5	MAP
Block1	648.0	656.5	MAP
Block1	553.0	682.5	MAP
Block1	474.0	682.5	MAP
Block1	576.0	673.5	MAP
Block1	589.0	677.5	MAP
Block1	467.0	687.5	MAP
Block1	378.0	673.5	MAP
Block1	376.0	428.5	MAP
Block1	395.0	447.5	MAP
Block1	503.0	596.5	MAP
Block1	486.0	258.5	MAP
Block1	449.0	304.5	MAP
Block1	388.0	327.5	MAP
Block1	450.0	598.5	MAP
